#ClinGen Gene Curation Results
#31 May,2020
#Genomic Locations are reported on GRCh38 (hg38): GCF_000001405.36
#https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen
#to create link: https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=Gene Symbol
#Gene Symbol	Gene ID	cytoBand	Genomic Location	Haploinsufficiency Score	Haploinsufficiency Description	Haploinsufficiency PMID1	Haploinsufficiency PMID2	Haploinsufficiency PMID3	Triplosensitivity Score	Triplosensitivity Description	Triplosensitivity PMID1	Triplosensitivity PMID2	Triplosensitivity PMID3	Date Last Evaluated	Loss phenotype OMIM ID	Triplosensitive phenotype OMIM ID
ADSL	158	22q13.1	chr22:40346500-40387408	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-11-05	103050	
AFF2	2334	Xq28	chrX:148500619-149000663	3	Sufficient evidence for dosage pathogenicity	22065534	21739600	8673085	0	No evidence available				2012-04-26	309548	
AGA	175	4q34.3	chr4:177430774-177442503	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	208400	
AGK	55750	7q34	chr7:141551278-141655244	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-11-20	212350	
AGPAT2	10555	9q34.3	chr9:136673143-136687459	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608594	
AGRN	375790	1p36.33	chr1:1020102-1056119	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615120	
AGT	183	1q42.2	chr1:230702523-230714590	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-11-13	267430	
AGTR2	186	Xq23	chrX:116170705-116174972	0	No evidence available				0	No evidence available				2012-05-10	300852	
AGXT	189	2q37.3	chr2:240868745-240879119	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	259900	
AHCY	191	20q11.22	chr20:34235012-34311976	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-06-08	613752	
AHDC1	27245	1p36.11-p35.3	chr1:27534245-27604178	3	Sufficient evidence for dosage pathogenicity	24791903	27148574	29230160	0	No evidence available				2018-02-28	615829	
AHI1	54806	6q23.3	chr6:135283972-135497775	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-09-06	608629	
AICDA	57379	12p13.31	chr12:8602166-8612970	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	605258	
AIMP1	9255	4q24	chr4:106315610-106349225	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	260600	
AKT2	208	19q13.2	chr19:40230317-40285531	0	No evidence available				0	No evidence available				2015-05-07		
AKT3	10000	1q43-q44	chr1:243488233-243851079	1	Little evidence for dosage pathogenicity				0	No evidence available				2016-04-14		
ALAD	210	9q32	chr9:113386312-113401338	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	612740	
ALDH1A3	220	15q26.3	chr15:100879692-100916626	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615113	
ALDH3A2	224	17p11.2	chr17:19648136-19677596	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	270200	
ALDH4A1	8659	1p36.13	chr1:18871430-18902799	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-04-09	239510	
ALDH5A1	7915	6p22.3	chr6:24494969-24537207	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	271980	
ALDOA	226	16p11.2	chr16:30053090-30070420	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	611881	
ALG1	56052	16p13.3	chr16:5071809-5087379	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	608540	
ALG12	79087	22q13.33	chr22:49860163-49918469	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607143	
ALG2	85365	9q22.33	chr9:99216425-99221964	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ALG6	29929	1p31.3	chr1:63367590-63438562	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	603147	
ALK	238	2p23.2-p23.1	chr2:29192774-29921611	0	No evidence available				0	No evidence available				2019-12-20		
ALMS1	7840	2p13.1	chr2:73385758-73609919	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ALS2	57679	2q33.1	chr2:201700263-201781172	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	203800	
ALX4	60529	11p11.2	chr11:44260728-44310166	3	Sufficient evidence for dosage pathogenicity	11137991	11106354	16319823	0	No evidence available				2011-11-17	609597	
AMH	268	19p13.3	chr19:2249279-2252073	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	261550	
AMN	81693	14q32.32	chr14:102922430-102930842	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	261100	
ANGPTL3	27329	1p31.3	chr1:62597487-62606305	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	605019	
ANK2	287	4q25-q26	chr4:112706083-113383740	3	Sufficient evidence for dosage pathogenicity	25363760	22542183	25363768	0	No evidence available				2019-05-22		
ANKRD11	29123	16q24.3	chr16:89267619-89490561	3	Sufficient evidence for dosage pathogenicity	21782149	23494856	21654729	0	No evidence available				2013-06-20	148050	
ANKS6	203286	9q22.33	chr9:98732009-98796542	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615382	
ANOS1	3730	Xp22.31	chrX:8528874-8732187	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-06-28	308700	
ANTXR2	118429	4q21.21	chr4:79901617-80073472	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	228600	
AP1S2	8905	Xp22.2	chrX:15825806-15855014	3	Sufficient evidence for dosage pathogenicity	17186471	17617514		0	No evidence available				2012-06-14	300630	
AP4B1	10717	1p13.2	chr1:113894194-113905202	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614066	
AP4S1	11154	14q12	chr14:31025106-31096450	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614067	
APC	324	5q22.2	chr5:112707505-112846239	3	Sufficient evidence for dosage pathogenicity	12136240	19196998		0	No evidence available				2012-07-06	175100	
APOB	338	2p24.1	chr2:21001429-21044073	3	Sufficient evidence for dosage pathogenicity	27179706	1527480	2843815	0	No evidence available				2020-04-09	615558	
APOC2	344	19q13.32	chr19:44945982-44949565	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	207750	
APP	351	21q21.3	chr21:25880550-26171128	0	No evidence available				2	Some evidence for dosage pathogenicity	16921174			2012-07-06		
AR	367	Xq12	chrX:67544032-67730619	3	Sufficient evidence for dosage pathogenicity	22334387			0	No evidence available				2012-03-22	300068	
ARCN1	372	11q23.3	chr11:118572363-118603033	2	Some evidence for dosage pathogenicity	27476655			0	No evidence available				2017-08-08	617164	
ARFGEF2	10564	20q13.13	chr20:48921721-49036693	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608097	
ARG1	383	6q23.2	chr6:131573159-131584332	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	207800	
ARHGAP31	57514	3q13.32-q13.33	chr3:119294289-119419476	0	No evidence available				0	No evidence available				2013-07-18		
ARHGEF4	50649	2q21.1	chr2:130836916-131047253	0	No evidence available				0	No evidence available				2018-04-05		
ARHGEF6	9459	Xq26.3	chrX:136665547-136781656	0	No evidence available				0	No evidence available				2012-04-25		
ARHGEF9	23229	Xq11.1	chrX:63634967-63786025	2	Some evidence for dosage pathogenicity	21633362	18615734		0	No evidence available				2012-10-12		
ARID1A	8289	1p36.11	chr1:26696031-26782110	3	Sufficient evidence for dosage pathogenicity	22426308	23929686	23906836	0	No evidence available				2020-05-27	614607	
ARID1B	57492	6q25.3	chr6:156777847-157210779	3	Sufficient evidence for dosage pathogenicity	22426308	21801163	22405089	0	No evidence available				2012-09-06	135900,614562	
ARID2	196528	12q12	chr12:45729683-45908040	3	Sufficient evidence for dosage pathogenicity	29698805	26238514	28124119	0	No evidence available				2019-06-26	617808	
ARL6	84100	3q11.2	chr3:97762875-97812585	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ARL6IP1	23204	16p12.3	chr16:18791667-18801678	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615685	
ARSA	410	22q13.33	chr22:50622754-50628173	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-09-05	250100	
ARSD	414	Xp22.33	chrX:2903970-2929375	0	No evidence available				0	No evidence available				2016-07-21		
ARSE	415	Xp22.33	chrX:2934632-2968310	3	Sufficient evidence for dosage pathogenicity	12567415	18348268		0	No evidence available				2012-07-12	302950	
ARX	170302	Xp21.3	chrX:25003694-25015948	3	Sufficient evidence for dosage pathogenicity	12379852	14722918		0	No evidence available				2019-12-05	300215,308350,300419	
ASAH1	427	8p22	chr8:18056299-18084998	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-09-11	228000,159950	
ASH1L	55870	1q22	chr1:155335261-155563160	3	Sufficient evidence for dosage pathogenicity	28191889	25363760	28263302	0	No evidence available				2017-12-27		
ASL	435	7q11.21	chr7:66075789-66093343	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	207900	
ASPA	443	17p13.2	chr17:3474106-3502534	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	271900	
ASPH	444	8q12.3	chr8:61500556-61714640	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	601552	
ASPM	259266	1q31.3	chr1:197084127-197146694	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	608716	
ASXL1	171023	20q11.21	chr20:32358062-32439319	3	Sufficient evidence for dosage pathogenicity	21706002	22419483		0	No evidence available				2013-03-14	605039	
ASXL2	55252	2p23.3	chr2:25733758-25878485	0	No evidence available				0	No evidence available				2018-06-28		
ASXL3	80816	18q12.1	chr18:33578577-33751195	3	Sufficient evidence for dosage pathogenicity	23383720	26647312	27901041	0	No evidence available				2017-11-22	615485	
ATCAY	85300	19p13.3	chr19:3880620-3928082	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	601238	
ATF6	22926	1q23.3	chr1:161766244-161964070	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-01-12	616517	
ATM	472	11q22.3	chr11:108222484-108369102	3	Sufficient evidence for dosage pathogenicity	3574400	27595995	15928302	0	No evidence available				2020-04-08	11830610,15928302,16832357,16958054,21787400,27595995,22585167,26098866,26483394,27433846,27324988,27989354	
ATP10A	57194	15q12	chr15:25672241-25865144	0	No evidence available				0	No evidence available				2012-04-24		
ATP13A2	23400	1p36.13	chr1:16985958-17011972	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
ATP2A1	487	16p11.2	chr16:28878488-28904509	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	601003	
ATP2C2	9914	16q24.1	chr16:84368523-84465777	0	No evidence available	25296922			0	No evidence available				2018-09-17		
ATP6AP2	10159	Xp11.4	chrX:40580964-40606637	0	No evidence available				0	No evidence available				2012-10-31	300423	
ATP6V0A2	23545	12q24.31	chr12:123712318-123761755	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
ATP6V0A4	50617	7q34	chr7:138706294-138799839	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	602722	
ATP6V1E1	529	22q11.21	chr22:17592136-17628822	0	No evidence available				0	No evidence available				2012-04-26		
ATP7A	538	Xq21.1	chrX:77910656-78050395	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-17	309400	
ATP7B	540	13q14.3	chr13:51932669-52012130	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-01-12	277900	
ATP8A2	51761	13q12.13	chr13:25372011-26025851	1	Little evidence for dosage pathogenicity	20683487			0	No evidence available				2014-10-10		
ATPAF2	91647	17p11.2	chr17:18015059-18039169	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	604273	
ATRX	546	Xq21.1	chrX:77504878-77786269	3	Sufficient evidence for dosage pathogenicity	7697714			0	No evidence available				2012-07-31	301040	
AUTS2	26053	7q11.22	chr7:69598475-70793068	3	Sufficient evidence for dosage pathogenicity	22872102	23332918	23650183	0	No evidence available				2013-11-06	615834	
AVPR2	554	Xq28	chrX:153902531-153907166	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-04-26	304800	
AXIN2	8313	17q24.1	chr17:65528563-65561622	3	Sufficient evidence for dosage pathogenicity	15042511	21416598	28195393	0	No evidence available				2019-02-13	608615	
B3GALNT2	148789	1q42.3	chr1:235440654-235504481	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615181	
B3GALT6	126792	1p36.33	chr1:1232249-1235041	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
B4GALT1	2683	9p21.1	chr9:33110641-33167391	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	607091	
B4GALT7	11285	5q35.3	chr5:177600118-177610347	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	130070	
B9D1	27077	17p11.2	chr17:19335372-19378193	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
BAG3	9531	10q26.11	chr10:119651347-119677819	3	Sufficient evidence for dosage pathogenicity	21353195	25008357	21459883	0	No evidence available				2015-02-12	603883	
BAP1	8314	3p21.1	chr3:52401004-52410105	3	Sufficient evidence for dosage pathogenicity	21874000	21941004	21874003	0	No evidence available				2019-12-27	614327	
BARD1	580	2q35	chr2:214725645-214809711	3	Sufficient evidence for dosage pathogenicity	20077502	20842729	21344236; 25994375	0	No evidence available				2020-05-01		
BBS12	166379	4q27	chr4:122700437-122744943	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615989	
BBS5	129880	2q31.1	chr2:169479496-169506655	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-10-11	615983	
BBS7	55212	4q27	chr4:121824329-121870520	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615984	
BCHE	590	3q26.1	chr3:165772903-165837472	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22		
BCKDHB	594	6q14.1	chr6:80106610-80469088	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	248600	
BCKDK	10295	16p11.2	chr16:31108294-31117651	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614923	
BCL11A	53335	2p16.1	chr2:60451167-60553498	3	Sufficient evidence for dosage pathogenicity	27453576	25938782	25979662	0	No evidence available				2017-04-13	617101	
BCL2L11	10018	2q13	chr2:111120914-111168445	0	No evidence available				0	No evidence available				2018-06-21		
BCLAF1	9774	6q23.3	chr6:136256863-136290645	1	Little evidence for dosage pathogenicity	28263302	25262651		0	No evidence available				2018-06-28		
BCOR	54880	Xp11.4	chrX:40051246-40177390	3	Sufficient evidence for dosage pathogenicity	19367324	15770227		0	No evidence available				2012-10-04	300166	
BCR	613	22q11.23	chr22:23180365-23318037	0	No evidence available				0	No evidence available				2012-07-10		
BCS1L	617	2q35	chr2:218659656-218663443	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
BIN1	274	2q14.3	chr2:127048023-127107400	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	255200	
BLM	641	15q26.1	chr15:90717327-90815462	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	210900	
BLNK	29760	10q24.1	chr10:96189171-96271576	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613502	
BMP4	652	14q22.2	chr14:53949736-53956891	2	Some evidence for dosage pathogenicity	21340693	18252212		0	No evidence available				2012-04-04	607932	
BMPER	168667	7p14.3	chr7:33904911-34155872	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	608022	
BMPR1A	657	10q23.2	chr10:86755786-86927969	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2011-10-28	174900	
BMPR2	659	2q33.1-q33.2	chr2:202376310-202567751	3	Sufficient evidence for dosage pathogenicity	11115378	11015450	16429403	0	No evidence available				2011-11-07	178600	
BPY2	9083	Yq11.223	chrY:22984263-23005465	0	No evidence available				0	No evidence available				2012-08-22		
BRAF	673	7q34	chr7:140719331-140924764	1	Little evidence for dosage pathogenicity	21862832			0	No evidence available				2014-08-04		
BRAT1	221927	7p22.3	chr7:2537810-2555758	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614498	
BRCA1	672	17q21.31	chr17:43044295-43125483	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2015-11-16	604370,614320	
BRCA2	675	13q13.1	chr13:32315480-32399672	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-07-06	612555	
BRIP1	83990	17q23.2	chr17:61679186-61864120	3	Sufficient evidence for dosage pathogenicity	29368626	26720728	26315354	0	No evidence available				2019-02-15		
BRWD3	254065	Xq21.1	chrX:80669488-80809736	2	Some evidence for dosage pathogenicity	17668385			0	No evidence available				2012-04-25	300659	
BSND	7809	1p32.3	chr1:54998944-55008792	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-05-17	602522	
BTD	686	3p25.1	chr3:15601352-15653709	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2015-05-21	253260	
BTK	695	Xq22.1	chrX:101349447-101390796	3	Sufficient evidence for dosage pathogenicity				0	No evidence available				2012-05-17	300755	
C15orf41	84529	15q14	chr15:36579603-36810260	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	615631	
C19orf12	83636	19q12	chr19:29698886-29715789	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
C1QB	713	1p36.12	chr1:22652981-22661637	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2017-01-17	613652	
C2orf71	388939	2p23.2	chr2:29061690-29074261	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2014-09-25	613428	
C5orf42	65250	5p13.2	chr5:37063928-37249428	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22		
C8orf37	157657	8q22.1	chr8:95244913-95270602	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614500	
CA12	771	15q22.2	chr15:63321378-63382166	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	143860	
CA5A	763	16q24.2	chr16:87888019-87936575	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	615751	
CA8	767	8q12.1	chr8:60185420-60281423	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613227	
CABP4	57010	11q13.2	chr11:67452406-67461774	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	610427	
CACNA1A	773	19p13.13	chr19:13206442-13506460	3	Sufficient evidence for dosage pathogenicity	19586927	21927611	25735478	0	No evidence available				2017-05-21	108500	
CACNA1C	775	12p13.33	chr12:1969677-2697949	1	Little evidence for dosage pathogenicity				0	No evidence available				2016-03-24		
CACNA1S	779	1q32.1	chr1:201039509-201112566	0	No evidence available				0	No evidence available				2016-01-18		
CADPS2	93664	7q31.32	chr7:122318424-122886759	0	No evidence available				0	No evidence available				2012-07-10		
CAMK2A	815	5q32	chr5:150219491-150289840	1	Little evidence for dosage pathogenicity	29100089	29560374		0	No evidence available				2019-09-04	617798	
CAMK2B	816	7p13	chr7:44217150-44325994	2	Some evidence for dosage pathogenicity	29100089			0	No evidence available				2018-06-28	617799	
CAMTA1	23261	1p36.31-p36.23	chr1:6785324-7769706	3	Sufficient evidence for dosage pathogenicity	22693284	24738973		0	No evidence available				2017-12-14	614756	
CANT1	124583	17q25.3	chr17:78991716-79009817	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	251450	
CAPN3	825	15q15.1	chr15:42359500-42412317	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	253600	
CARD14	79092	17q25.3	chr17:80169992-80209331	0	No evidence available				0	No evidence available				2013-08-01		
CASK	8573	Xp11.4	chrX:41514934-41923525	3	Sufficient evidence for dosage pathogenicity	21954287	21735175	22452838	0	No evidence available				2012-06-28	300749	
CASP10	843	2q33.1	chr2:201182881-201229406	1	Little evidence for dosage pathogenicity	21382177			0	No evidence available				2020-04-10		
CASQ2	845	1p13.1	chr1:115700003-115768805	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	611938	
CASR	846	3q13.33-q21.1	chr3:122183683-122286503	0	No evidence available				0	No evidence available				2012-03-02		
CASZ1	54897	1p36.22	chr1:10636602-10796676	1	Little evidence for dosage pathogenicity	8263302			0	No evidence available				2019-04-25		
CATSPER2	117155	15q15.3	chr15:43630562-43648845	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2012-09-20		
CBFB	865	16q22.1	chr16:67029147-67101058	0	No evidence available				0	No evidence available				2012-02-22		
CBL	867	11q23.3	chr11:119206276-119308149	0	No evidence available				0	No evidence available				2019-04-24	613563	
CBS	875	21q22.3	chr21:43053190-43076868	30	Gene associated with autosomal recessive phenotype				0	No evidence available	11391481			2016-08-22	236200	
CC2D2A	57545	4p15.32	chr4:15468660-15601971	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2013-07-17		
CCBE1	147372	18q21.32	chr18:59430939-59698181	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	235510	
CCDC103	388389	17q21.31	chr17:44899712-44903679	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	614679	
CCDC39	339829	3q26.33	chr3:180614008-180679495	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	613807	
CCDC40	55036	17q25.3	chr17:80036632-80100613	30	Gene associated with autosomal recessive phenotype				Not yet evaluated	Not yet evaluated				2016-08-22	613808	
CCDC8	83987	19q13.32	chr19:46410329-46413662	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	614205	
CCT5	22948	5p15.2	chr5:10249921-10266412	30	Gene associated with autosomal recessive phenotype				0	No evidence available				2016-08-22	256840	
